id,canonical_name,synonyms
tirabrutinib,Tirabrutinib,"['ONO-4059', 'GS-4059', 'Tirabrutinib']"
car-t-colon-_anti-cd19-comma-_ii_generation_-lpar-cd3z--etczc1yc,"CAR-T: Anti-CD19, II generation (CD3zeta_CD28)","['CAR-T: Anti-CD19, II generation (CD3zeta_CD28)']"
vb10-dot-16,VB10.16,"['DNA vaccine VB10.16', 'VB10.16']"
ino-3106,INO-3106,"['INO3106', 'INO 3106', 'INO-3106']"
177lu-psma-617,177Lu-PSMA-617,"['(177)Lu-PSMA-617', 'Lutetium-177-psma', '177Lu-PSMA-617']"
endotag-1,EndoTAG-1,"['Cationic liposomal paclitaxel EndoTAG-1', 'SB05PC', 'EndoTAG-1']"
rimiducid_activated_bpx101,Rimiducid activated BPX101,"['AP-1903 activated BPX 101', 'BP-GMAX-CD1', 'BPX-101', 'Autologous prostate cancer antigen-expressing dendritic cell vaccine BPX-101', 'AP1903 activated BPX101', 'Rimiducid/BPX101', 'Rimiducid activated BPX101']"
brachytherapy_-lpar-bt-rpar-,Brachytherapy,"['Low dose rate brachytherapy', 'Low-dose rate brachytherapy', 'Pulsed dose brachytherapy', 'Sealed source radiation therapy', 'Medium-dose-rate brachytherapy', 'Medium-dose brachytherapy', 'LDR brachytherapy', 'Pulsed-dose-rate brachytherapy', 'High dose brachytherapy', 'High dose rate brachytherapy', 'HDR brachytherapy', 'Medium-dose rate brachytherapy', 'Medium dose brachytherapy', 'Medium dose rate brachytherapy', 'Low-dose-rate brachytherapy', 'Pulsed-dose brachytherapy', 'Pulsed-dose rate brachytherapy', 'Low dose brachytherapy', 'Sealed-source radiotherapy', 'Internal radiation therapy', 'MDR brachytherapy', 'High-dose brachytherapy', 'High-dose rate brachytherapy', 'PDR brachytherapy', 'Pulsed dose rate brachytherapy', 'Low-dose brachytherapy', 'Internal radiotherapy', 'High-dose-rate brachytherapy', 'Brachytherapy']"
norethindrone_acetate,Norethindrone acetate,"['Aygestin', 'Norlutate', 'nor-Q.D.', 'Ortho Micronor', 'Norethindrone acetate']"
amg176,AMG176,"['AMG-176', 'AMG 176', 'AMG176']"
injectable_astragalus_membranaceus_polysaccharide,Injectable Astragalus membranaceus polysaccharide,"['PG2', 'Injectable Astragalus membranaceus polysaccharide']"
tqb3558,TQB3558,['TQB3558']
streptozocin,Streptozocin,"['Zanosar', 'Streptozotocin', 'Streptozocin']"
h3b-8800,H3B-8800,"['H3B 8800', 'H3B-8800']"
inotuzumab_ozogamicin,Inotuzumab ozogamicin,"['BESPONSA', 'CMC-544', 'CMC544', 'Inotuzumab ozogamicin']"
dalotuzumab,Dalotuzumab,"['C569480', 'D09746', 'MK0646', 'MK-0646', 'MK 0646', 'Dalotuzumab']"
bromodeoxyuridine,Bromodeoxyuridine,"['5-BrdU', '5-bromodeoxyuridine', 'broxuridine', 'BrdU', 'Bromodeoxyuridine']"
hpn328,HPN328,['HPN328']
incb54329,INCB054329,"['INCB54329', 'INCB054329']"
nis793,NIS793,['NIS793']
cnct19,CNCT19,['CNCT19']
gdc-0927,GDC-0927,"['GDC 0927', 'GDC0927', 'GDC-0927']"
valacyclovir,Valacyclovir,"['Valacyclovir hydrochloride', 'Valtrex', 'Valacyclovir']"
belantamab_mafodotin,Belantamab mafodotin,"['belantamab mafodotin-blmf', 'GSK2857916', '2857916', 'J6M0-mcMMAF', 'Belantamab mafodotin']"
cc-98633,CC-98633,['CC-98633']
thz-2-49,THZ-2-49,['THZ-2-49']
pf-04136309,PF-04136309,"['PF-4136309', 'PF-04136309']"
eft508,eFT508,['eFT508']
csf_470_vaccine,CSF 470 vaccine,"['allogeneic irradiated melanoma cell vaccine CSF471', 'CSF-470', 'CSF470 vaccine', 'CSF 470 vaccine']"
cpi-006,CPI-006,['CPI-006']
motolimod,Motolimod,"['VTX-2337', 'Motolimod']"
bay_1187982,BAY 1187982,"['Aprutumab Ixadotin', 'BAY 1187982']"
_sar439859,SAR439859,['SAR439859']
pdr001,Spartalizumab,"['PDR001', 'Spartalizumab']"
adp-a2m4,ADP-A2M4,"['autologous TCR-transduced MAGE-A4 C1032 T cells', 'MAGE-A4 SPEAR T cells', 'autologous genetically-modified melanoma antigen A4 T cells', 'autologous genetically-modified MAGE-A4 C1032 T lymphocytes', 'MAGE-A4-specific TCR gene-transduced C1032 T lymphocytes', 'autologous MAGE-A4 C1032 TCR-modified T cells', 'MAGE-A4 TCR', 'ADP-A2M4']"
allovax,AlloVax,['AlloVax']
ucart22,UCART22,['UCART22']
bms-754807,BMS-754807,['BMS-754807']
ibi322,IBI322,['IBI322']
gb221,GB221,['GB221']
nvx-108,NVX-108,"['dodecafluoropentane emulsion', 'perflenapent emulsion', 'NVX-108']"
verapamil,Verapamil,['Verapamil']
autologous_cd133-positive_btsc_mrna-pulsed_autologous_--etceldmn,autologous CD133-positive BTSC mRNA-pulsed autologous dendritic cell vaccine,"['autologous CD133-positive brain tumor stem cell mRNA-pulsed autologous dendritic cell vaccine', 'autologous CD133-positive BTSC mRNA-pulsed autologous dendritic cell vaccine']"
bryostatin_1,Bryostatin 1,"['BMY 45618', 'Bryol', 'Bryostatin', 'B705008K112', 'NSC 339555', 'Bryostatin-1', 'C05149', 'Bryostatin 1']"
veru-111,VERU-111,"['VERU111', 'VERU 111', 'VERU-111']"
apl-1202,APL-1202,"['APL1202', 'APL 1202', 'APL-1202']"
ibi188,IBI188,"['IBI-188', 'IBI 188', 'IBI188']"
cd7_ucar-t_cells,CD7 UCAR-T cells,['CD7 UCAR-T cells']
pgg_beta-glucan,PGG beta-glucan,"['B-glucan PGG', 'BTH-1677', 'Imprime PGG', 'BTH1677', 'PGG beta-glucan']"
carnosine,Carnosine,['Carnosine']
tigilanol_tiglate,tigilanol tiglate,"['EBC-46', 'tigilanol tiglate']"
snx-2112,SNX-2112,['SNX-2112']
rindopepimut,Rindopepimut,"['CDX-110', 'anti-EGFRvIII vaccine CDX-110', 'Rindopepimut']"
tlpldc_vaccine,TLPLDC vaccine,"['yeast cell wall particles loaded with tumor lysate', 'YCWP loaded with tumor lysate', 'autologous melanoma lysate-pulsed autologous dendritic cell vaccine', 'autologous tumor lysate particleloaded dendritic cell vaccine', 'TLPLDC vaccine']"
amoxicillin,Amoxicillin,"['Utimox', 'Trimox', 'Wymox', 'Amoxil', 'AMOX', 'Polymox', 'Amoxicillin']"
dcs_pulsed_with_daeksdictdey-comma-_ymdgtmsqv-comma-_y--etc4pulh,"DCs pulsed with DAEKSDICTDEY, YMDGTMSQV, YLEPGPVTA, ALLAVGATK peptides","['DCs pulsed with DAEKSDICTDEY, YMDGTMSQV, YLEPGPVTA, ALLAVGATK peptides']"
defibrotide,Defibrotide,"['Defitelio', 'Defibrotide Sodium', 'Defibrotide']"
mv_mix_vaccine,MV mix vaccine,"['MV', 'MV mix vaccine']"
dacomitinib,Dacomitinib,"['PF00299804', 'Dacomitinib']"
pantoprazole,Pantoprazole,"['Protonix', 'Pantoprazole']"
dactolisib,Dactolisib,"['NVP-BEZ235', 'BEZ235', 'Dactolisib']"
apg-115,APG-115,"['APG 115', 'APG115', 'APG-115']"
pyrimethamine,Pyrimethamine,"['Daraprim', 'Pyrimethamine']"
methoxsalen,Methoxsalen,"['Xanthotoxin', 'Oxsoralen', 'Oxsoralen-Ultra', '8-methoxypsoralen', 'Methoxypsoralen', 'Uvadex', 'Ammoidin', 'Methoxsalen']"
laser_ablation_therapy,Laser ablation therapy,['Laser ablation therapy']
gm-dot-cd40l_vaccine,GM.CD40L vaccine,"['GM.CD40L cell vaccine', 'GM.CD40L vaccine']"
brilanestrant,Brilanestrant,"['RO-7056118', 'ARN-810', 'GDC-0810', 'RG-6046', 'Brilanestrant']"
etbx-071,ETBX-071,['ETBX-071']
otlertuzumab,Otlertuzumab,"['anti-CD37 single-chain polypeptide TRU-016', 'TRU-016', 'C547387', 'humanised anti-CD37 therapeutic otlertuzumab', 'TRU 016', 'anti-CD37 monospecific ADAPTIR therapeutic protein otlertuzumab', 'Otlertuzumab']"
xmab18087,XmAb18087,"['XmAb 18087', 'XmAb-18087', 'XmAb18087']"
gs-9219,GS-9219,"['VDC-1101', 'GS-9219']"
ict-107,ICT-107,"['Multi-glioblastoma-peptide-targeting autologous dendritic cell vaccine ICT-107', 'MAGE-1, HER-2, AIM-2, TRP-2, gp100, and IL-13Rα2 peptides pulsed autologous dendritic cell vaccine', 'ICT 107', 'ICT-107']"
gbr1302,GBR1302,"['GBR-1302', 'ISB 1302', 'GBR 1302', 'GBR1302']"
bms-986195,BMS-986195,"['Branebrutinib', 'BMS-986195']"
moxetumomab_pasudotox,Moxetumomab pasudotox,"['LUMOXITI', 'moxetumomab pasudotox-tdfk', 'CAT-8015', 'Moxetumomab pasudotox']"
gl-0817_vaccine,GL-0817 vaccine,"['MAGE-A3 peptide vaccine', 'GL-0817 vaccine']"
mecapegfilgrastim,Mecapegfilgrastim,"['HHPG-19', 'Mecapegfilgrastim']"
enobosarm,Enobosarm,"['GTx-024', 'Ostarine', 'Enobosarm']"
tab004,TAB004,"['TAB-004', 'JS004', 'JS 004', 'JS-004', 'TAB 004', 'TAB004']"
kin001-266,KIN001-266,['KIN001-266']
bgb-10188,BGB-10188,['BGB-10188']
cvd908ssb-txsvn,CVD908ssb-TXSVN,"['Salmonella-based survivin vaccine CVD908ssb-TXSVN', 'TXSVN', 'CVD908ssb-TXSVN']"
abbv-467,ABBV-467,['ABBV-467']
pladienolide_derivative_e7107,pladienolide derivative E7107,"['E7107', 'pladienolide derivative E7107']"
omeprazole,Omeprazole,['Omeprazole']
autologous_cd8-plus-_antigen-specific_t_cells,Autologous CD8+ Antigen-Specific T Cells,['Autologous CD8+ Antigen-Specific T Cells']
blz945,BLZ945,['BLZ945']
gw-2580,GW-2580,['GW-2580']
chloroquinoxaline_sulfonamide,Chloroquinoxaline sulfonamide,"['chlorsulfaquinoxaline', 'CQS', 'chlorosulfaquinoxaline', 'Chloroquinoxaline sulfonamide']"
zoptarelin_doxorubicin,Zoptarelin doxorubicin,"['AEZS-108', 'Zoptarelin doxorubicin']"
temozolomide,Temozolomide,"['Methazolastone', 'Temcad', 'Temodal', 'Temodar', 'Temozolomide']"
recombinant_hsp110-gp100_chaperone_complex_vaccine,recombinant hsp110-gp100 chaperone complex vaccine,['recombinant hsp110-gp100 chaperone complex vaccine']
ak117,AK117,['AK117']
mepolizumab,Mepolizumab,['Mepolizumab']
bms-936561,BMS-936561,"['MDX 1203', 'C585822', 'MDX-1203', 'aCD70_MED-A', 'BMS-936561']"
gvax_colorectal_cancer_vaccine,GVAX colorectal cancer vaccine,"['autologous GM-CSF-secreting lethally irradiated colorectal cancer cell vaccine', 'GVAX colorectal cancer vaccine']"
pf06940434,PF06940434,"['PF-06940434', 'PF 06940434', 'PF06940434']"
krt-232,KRT-232,"['KRT232', 'KRT 232', 'KRT-232']"
rosuvastatin,Rosuvastatin,['Rosuvastatin']
sb52334,SB52334,['SB52334']
bms-690514,BMS-690514,"['Pan-HER/VEGFR2 receptor tyrosine kinase inhibitor BMS-690514', 'C552150', 'BMS 690514', 'BMS-690514']"
doxifluridine,Doxifluridine,"['5-DFUR', 'Doxifluridine']"
telatinib,Telatinib,['Telatinib']
ofatumumab,Ofatumumab,"['Arzerra', 'Ofatumumab']"
hmpl-689,HMPL-689,"['HMPL689', 'HMPL 689', 'HMPL-689']"
rad-p53,rAD-p53,"['Genkaxin', 'Gendicine', 'recombinant adenovirus encoding p53', 'rAD-p53']"
amg_172,AMG 172,"['anti-CD27L antibody-drug conjugate AMG 172', 'anti-epithelial cell adhesion molecule/anti-CD3 antibody-drug conjugate AMG 172', 'AMG172', 'AMG-172', 'AMG 172']"
hpn536,HPN536,['HPN536']
fentanyl,Fentanyl,"['Actiq', 'Oralet', 'Sublimaze', 'Fentanyl citrate', 'Fentanyl']"
sym023,Sym023,"['Sym 023', 'Sym-023', 'Sym023']"
mycophenolate_mofetil,Mycophenolate mofetil,['Mycophenolate mofetil']
dendritic_cells_pulsed_with_g280-9v_peptide,Dendritic cells pulsed with G280-9V peptide,"['Melanoma-Associated Antigen gp100-Derived G280-9V', 'Dendritic cells pulsed with G280-9V peptide']"
milataxel,Milataxel,"['MAC-321', 'TL-139', 'Milataxel']"
azd5069,AZD5069,['AZD5069']
rifampin,Rifampin,"['Rifampicin', 'Rifampin']"
pngvl4a-crt-slash-e7-lpar-detox-rpar-_dna_vaccine,pNGVL4a-CRT/E7(detox) DNA vaccine,['pNGVL4a-CRT/E7(detox) DNA vaccine']
tagraxofusp-erzs,Tagraxofusp-erzs,"['SL-401', 'diphtheria toxin(388)-interleukin-3 fusion protein', 'Elzonris', 'DT(388)IL3 fusion protein', 'Tagraxofusp-erzs']"
aeb1102,AEB1102,['AEB1102']
pirfenidone,Pirfenidone,"['Esbriet', 'Pirfenidone']"
gq1001,GQ1001,['GQ1001']
raltitrexed,Raltitrexed,['Raltitrexed']
adxs11-001,ADXS11-001,"['Axalimogene filolisbac', 'Lovaxin C', 'AXAL', 'ADXS11-001']"
vaccinia-cea-lpar-6d-rpar--tricom_vaccine,Vaccinia-CEA(6D)-TRICOM vaccine,"['rvaccinia(V)-CEA(6D)-TRICOM', 'Vaccinia-CEA(6D)-TRICOM vaccine']"
imgn529,Naratuximab emtansine,"['IMGN-529', 'K7153A-SMCC-DM1', 'IMGN529', 'Debio 1562', 'Naratuximab emtansine']"
phenelzine,Phenelzine,"['Phenelzine sulfate', 'Nardil', 'Phenelzine']"
alprostadil,Alprostadil,['Alprostadil']
jnj-64619178,JNJ-64619178,"['JNJ64619178', 'JNJ 64619178', 'JNJ-64619178']"
cct007093,CCT007093,['CCT007093']
circularly_permuted_trail,Circularly permuted TRAIL,['Circularly permuted TRAIL']
tq-b3101,TQ-B3101,['TQ-B3101']
tak-243,TAK-243,"['MLN7243', 'AOB87172', 'TAK-243']"
romidepsin,Romidepsin,"['depsipeptide', 'FR901228', 'Istodax', 'NSC 630176', 'FK228', 'Romidepsin']"
dc_rcc-rna,DC RCC-RNA,['DC RCC-RNA']
roscovitine,Seliciclib,"['R-roscovitine', 'Roscovitine', 'CYC202', 'Seliciclib']"
trastuzumab_vc-seco-duba,Trastuzumab vc-seco-DUBA,"['SYD985', 'Trastuzumab valine-citrulline-seco-duocarmycinhydroxybenzamide-azaindole', 'Trastuzumab duocarmazine', 'SYD 985', 'Trastuzumab vc-seco-DUBA']"
galiximab,Galiximab,"['IDEC-114', 'Galiximab']"
mp0250,MP0250,['MP0250']
proton_therapy_-lpar-pt-rpar-,Proton therapy,"['Proton radiotherapy', 'Proton radiation therapy', 'Proton beam radiation', 'Proton therapy']"
infliximab,Infliximab,"['Renflexis', 'PF 6438179', 'PF 06438179', 'Remicade', 'INFLIX', 'Remsima', 'D02598', 'GP1111', 'IXIFI', 'Inflectra', 'Avakine', 'CT-P13', 'D000069285', 'Infliximab']"
gp-2250,GP-2250,"['GP2250', 'GP 2250', 'substance 2250', 'GP-2250']"
ny-eso-1f_peptide_vaccine,NY-ESO-1f peptide vaccine,"['NY-ESO-1 91–110: YLAMPFATPMEAELARRSLA', 'NY-ESO-1f', 'NY-ESO-1f peptide vaccine']"
nm21-1480,NM21-1480,['NM21-1480']
bi_754111,BI 754111,"['BI754111', 'BI 754111']"
etanercept,Etanercept,"['TNFR:Fc', 'Tumor Necrosis Factor Receptor IgG Chimera', 'Enbrel', 'ETN', 'Etanercept']"
dcc-3014,DCC-3014,"['DCC3014', 'DCC 3014', 'DCC-3014']"
cpgj602,CPGJ602,"['CPGJ 602', 'CPGJ-602', 'CPGJ602']"
anti-ctla-4_mab_rna-transfected_autologous_dc,anti-CTLA-4 mAb RNA-transfected autologous DC,"['anti-CTLA-4 mAb RNA-transfected autologous dendritic cell vaccine', 'anti-CTLA-4 mAb RNA-transfected autologous dendritic cells', 'anti-CTLA-4 mAb RNA-transfected autologous DC']"
zz06,ZZ06,['ZZ06']
jtx-2011,Vopratelimab,"['JTX-2011', 'Vopratelimab']"
denenicokin,Denenicokin,"['Recombinant il-21', 'rIL-21', 'recombinant interleukin-21', 'Denenicokin']"
arsenic_trioxide,Arsenic Trioxide,"['Trisenox', 'White Arsenic', 'Arsenous Acid Anhydride', 'Arsenic Sesquioxide', 'Arsenous Acid', 'Arsenic (III) Oxide', 'Arsenous Oxide', 'ato', 'AS2O3', 'Arsenic Trioxide']"
varlitinib,Varlitinib,"['ASLAN001', 'ARRY-334543', 'Varlitinib']"
sb-505124,SB-505124,['SB-505124']
ql-viii-58,QL-VIII-58,['QL-VIII-58']
bi_765063,BI 765063,['BI 765063']
zg-10,ZG-10,['ZG-10']
survaxm,SurVaxM,"['SVN53-67/M57-KLH Peptide Vaccine', 'SurVaxM']"
lucitanib,Lucitanib,"['AL3810', 'Lucitanib']"
peginterferon_alfa-2b,Peginterferon Alfa-2b,"['pegylated interferon alfa-2b', 'PEG intron', 'Sylatron', 'pegylated interferon alpha-2b', 'Pegintron', 'PEG-Intron', 'PEG interferon alpha-2b', 'Peginterferon Alfa-2b']"
isatuximab,Isatuximab,"['isatuximab-irfc', 'SAR650984', 'SARCLISA', 'Isatuximab']"
etoricoxib,Etoricoxib,"['Eto', 'Etoll', 'Etoxib', 'E-Cox', 'Tory', 'Nucoxia', 'Algix', 'Tauxib', 'Hetori', 'Vecoxib', 'Etospeed', 'Arcox', 'Coxit', 'Vargus', 'Etorix', 'Berrica', 'Etozox', 'Exxiv', 'Intacoxia', 'Arcoxia', 'Etoricoxib']"
ifosfamide,Ifosfamide,"['Ifex', 'Ifosfamidum', 'Cyfos', 'Ifosfamide']"
sepantronium_bromide,Sepantronium bromide,"['YM155', 'survivin inhibitor YM155', 'Sepantronium bromide']"
sct200,SCT200,['SCT200']
ip-001,IP-001,['IP-001']
evx-02,EVX-02,['EVX-02']
andes-1537,Andes-1537,['Andes-1537']
ve800,VE800,['VE800']
puquitinib,Puquitinib,"['C000610523', 'Puquitinib mesylate', 'XC-302', 'Puquitinib']"
parp_inhibitor_cep-9722,PARP inhibitor CEP-9722,"['CEP-9722', 'PARP inhibitor CEP-9722']"
ca170,CA-170,"['CA170', 'AUPM 170', 'CA-170']"
xmd15-27,XMD15-27,['XMD15-27']
car-t-colon-_anti-muc1-comma-_iv_generation_-lpar-cd3z--etchrk0b,"CAR-T: Anti-MUC1, IV generation (CD3zeta_CD28_4-1BB_IRES-controlled-IL12-sequence)","['CAR-T: Anti-MUC1, IV generation (CD3zeta_CD28_4-1BB_IRES-controlled-IL12-sequence)']"
5_peptide_vaccines_of_koc1-comma-_ttk-comma-_co16-comm--etcaiqmc,"5 peptide vaccines of KOC1, TTK, CO16, DEPDC1, MPHOSPH1","['HLA-A*2402-restricted KOC1-TTK-CO16-DEPDC1-MPHOSPH1 multipeptide vaccine', '5 peptide vaccines of KOC1, TTK, CO16, DEPDC1, MPHOSPH1']"
ribociclib,Ribociclib,"['LEE011', 'Ribociclib']"
obatoclax,Obatoclax,"['CEP-41601', 'Bcl-2 antagonist obatoclax', 'GX15-070', 'GX-15-070', 'D08954', 'GX015-070', 'GX15-070MS', 'GX 15-070', 'C520962', 'Obatoclax mesylate', 'Obatoclax']"
ft516,FT516,"['FT-516', 'non-cleavable CD16 (hnCD16) Fc receptor NK-cells', 'FT516']"
trastuzumab,Trastuzumab,"['SB3', 'c-erb-2', 'ABP 980', 'HLX02', 'trastuzumab-qyyp', 'EG12014', 'Herceptin', 'MOAB HER2', 'PF-05280014', 'SIBP-01', 'Trazimera', 'ALT02', 'Herzuma', 'Trastuzumab']"
az628,AZ628,['AZ628']
azd9833,AZD9833,"['AZD 9833', 'AZD9833']"
scb-313,SCB-313,"['SCB 313', 'SCB-313']"
dsp107,DSP107,['DSP107']
ibudilast,Ibudilast,['Ibudilast']
ad100-b45-neo-b7-dot-1,Ad100-B45-Neo-B7.1,"['Allogeneic B7.1/HLA-A1', 'Ad100-B45-Neo-B7.1-HLA A1 or HLA2', 'Ad100-B45-Neo-B7.1']"
nov1601,NOV1601,"['CHC2014', 'NOV1601']"
67cu-sartate,67Cu-SARTATE,['67Cu-SARTATE']
tj107_,TJ107,['TJ107']
ketamine,Ketamine,"['ketamine hydrochloride', 'Ketamine']"
abt-510,ABT-510,"['ABT 510', 'ABT-510']"
ad5-ycd-slash-muttksr39rep-hil12,Ad5-yCD/mutTKSR39rep-hIL12,"['oncolytic adenovirus Ad5-yCD/mutTKSR39rep-hIL12', 'Ad5-yCD/mutTKSR39rep-hIL12']"
thz-2-102-1,THZ-2-102-1,['THZ-2-102-1']
gp100-in4_vaccine,gp100-in4 vaccine,"['gp100-intron 4', 'epitope peptide VYFFLPDHL', 'gp100-in4', 'gp100-in4 vaccine']"
--u-1089--alcipotriene,Сalcipotriene,"['Dovonex', 'Сalcipotriene']"
ly3475070,LY3475070,['LY3475070']
sar125844,SAR125844,['SAR125844']
gi-6301,GI-6301,"['brachyury-expressing yeast vaccine GI-6301', 'Yeast Brachyury Vaccine', 'GI-6301']"
ruxolitinib,Ruxolitinib,"['Ruxolitinib Phosphate', 'NSC-752295', 'Jakavi', 'Jakafi', 'Ruxolitinib']"
l-dos47,L-DOS47,['L-DOS47']
tanibirumab,Tanibirumab,"['TTAC-0001', 'Tanibirumab']"
mitotane,Mitotane,"['Lysodren', 'Chloditan', ""o,p'-DDD"", 'Chlodithane', 'Khloditan', 'Ortho,para-DDD', 'Mytotan', 'Mitotane']"
amg_820,AMG 820,"['AMG820', 'AMG-820', 'AMG 820']"
hg146,HG146,"['HG280146', 'HG 146', 'HG280146-P1', 'HG0146', 'HG-146', 'HG146']"
