TP,Add_to_black_list,FP,Search_problem,candidate,ADJ,count_nct,is_mab,is_therapy,sentence,sents,_ids,link_to_ct_gov
1,,,,caffeine,FALSE,2,FALSE,FALSE,"A Phase 1, 2-Part, Multicenter, Open-Label, 3-Arm Study to Determine the Effect of Enasidenib (CC-90007) on the Pharmacokinetics of Single Oral Doses of Caffeine, Dextromethorphan, Fexofenadine, Flurbiprofen, Midazolam, Omeprazole, Pioglitazone, and Rosuvastatin in Patients With Acute Myeloid Leukemia.","{'A Phase 1, 2-Part, Multicenter, Open-Label, 3-Arm Study to Determine the Effect of Enasidenib (CC-90007) on the Pharmacokinetics of Single Oral Doses of Caffeine, Dextromethorphan, Fexofenadine, Flurbiprofen, Midazolam, Omeprazole, Pioglitazone, and Rosuvastatin in Patients With Acute Myeloid Leukemia.', 'The purpose of the study is to evaluate whether a caffeine-based cream can reduce the rates of reconstructive complications in patients with tissue expander based reconstruction requiring post-mastectomy radiation therapy when compared to a placebo cream', 'A Phase 1, Randomized, Double Blinded, Placebo Controlled Study of the Safety and Efficacy of a Caffeine-based Antifibrosis Cream in Patients With Breast Cancer Undergoing Radiation Therapy.'}","{'NCT03768492', 'NCT03720366'}",NCT03768492
1,,,,tipiracil,FALSE,2,FALSE,FALSE,"This is a Phase 3, randomized, open-label, 2-arm trial designed to evaluate overall survival (OS) following treatment with Sym004, an investigational medicinal product (IMP), versus TAS-102 (trifluridine/tipiracil), a comparator (control) agent","{'This is a Phase 3, randomized, open-label, 2-arm trial designed to evaluate overall survival (OS) following treatment with Sym004, an investigational medicinal product (IMP), versus TAS-102 (trifluridine/tipiracil), a comparator (control) agent', 'Efficacy and Safety of Trifluridine/Tipiracil in Combination With Irinotecan as a Second Line Therapy in Patients With Cholangiocarcinoma.', 'To examine the efficacy of a combination therapy of Trifluridine/Tipiracil and Irinotecan in patients with advanced, non resectable or metastatic cholangio- and gallbladder carcinoma after failure to respond to a previous gemcitabine treatment.', 'A Phase 3, Randomized, Open-Label, Multicenter Trial of Sym004 Versus Trifluridine/Tipiracil (TAS-102) in Patients With Chemotherapy-Refractory or Relapsed Metastatic Colorectal Carcinoma and Acquired Resistance to Anti-EGFR Monoclonal Antibody Therapy.'}","{'NCT03717038', 'NCT04059562'}",NCT03717038
1,,,,polyinosinic-polycytidylic acid,FALSE,2,FALSE,FALSE,Polyinosinic-polycytidylic acid (PolyIC) has been widely studied as a new anti-tumor drug and recent study showed that polyIC and PD-L1 mAb has a quite synergetic effect on the hepatocellular carcinoma (HCC).,"{'Polyinosinic-polycytidylic acid (PolyIC) has been widely studied as a new anti-tumor drug and recent study showed that polyIC and PD-L1 mAb has a quite synergetic effect on the hepatocellular carcinoma (HCC).', 'The study interventions involved in this study are: Poly-ICLC (Polyinosinic-Polycytidylic acid stabilized with polylysine and carboxymethylcellulose, also known as Hiltonol®) treatment in combination with anti-PD-1 (Nivolumab, Cemiplimab or Pembrolizumab) or anti-PD-L1 (Atezolizumab or Durvalumab)'}","{'NCT03721679', 'NCT03732547'}",NCT03721679
1,,,,radioiodine,FALSE,2,FALSE,FALSE,The objective of this study is to evaluate the effect of cabozantinib compared with placebo on progression free survival (PFS) and objective response rate (ORR) in subjects with Radioiodine-Refractory Differentiated Thyroid Cancer (DTC) who have progressed after prior VEGFR-Targeted therapy,"{'The objective of this study is to evaluate the effect of cabozantinib compared with placebo on progression free survival (PFS) and objective response rate (ORR) in subjects with Radioiodine-Refractory Differentiated Thyroid Cancer (DTC) who have progressed after prior VEGFR-Targeted therapy', 'A Prospective, Multicentre Phase II Study of the Efficacy of Lenvatinib Combined With Denosumab in the Treatment of Patients With Predominant Bone Metastatic Radioiodine Refractory Differentiated Thyroid Carcinomas (LENVOS).', 'Placebo-Controlled Study of Cabozantinib (XL184) in Subjects With Radioiodine-Refractory Differentiated Thyroid Cancer Who Have Progressed After Prior VEGFR-Targeted Therapy.', 'This study evaluates the combination of lenvatinib with denosumab in bone-predominant metastatic Radioiodine Refractory Differentiated Thyroid Carcinomas.'}","{'NCT03732495', 'NCT03690388'}",NCT03732495
1,,,,18f-fdg,FALSE,2,FALSE,FALSE,"Positron emission tomography (PET/CT) imaging will be used to evaluate soft tissue sarcoma hypoxia using an investigational radiotracer, 18F-FMISO Subjects will also undergo an 18F-FDG PET/CT scan close to the time of their initial hypoxia PET/CT to compare in vivo measures of hypoxia to 18F-FDG uptake.","{'Positron emission tomography (PET/CT) imaging will be used to evaluate soft tissue sarcoma hypoxia using an investigational radiotracer, 18F-FMISO Subjects will also undergo an 18F-FDG PET/CT scan close to the time of their initial hypoxia PET/CT to compare in vivo measures of hypoxia to 18F-FDG uptake.', 'This phase II trial studies how well fludeoxyglucose F-18 (18F-FDG) positron emission tomography (PET) and osimertinib works in evaluating glucose utilization in patients with EGFR activated glioblastoma.'}","{'NCT03730077', 'NCT03732352'}",NCT03730077
,1,,,pcz,FALSE,2,FALSE,FALSE,"Among its authorized indications, posaconazole (PCZ) is prescribed for prophylaxis in onco-hematology patients at high risk of invasive fungal infections.","{'Among its authorized indications, posaconazole (PCZ) is prescribed for prophylaxis in onco-hematology patients at high risk of invasive fungal infections.', 'In addition, the investigators found significant intra-individual variability in PCZ exposure (CV = 48.8%), especially in leukemic patients.', 'The median concentration of PCZ was 1.08 mg/L. In this study, the pharmacokinetics of tablet-PCZ showed significant inter-individual variability.', 'Thus, while 25% of the concentrations remained below the recommended threshold of 0.7 mg/L (25% percentile = 0.69 mg/L), exposure to PCZ was greater than 2.63 mg/L in 10% of cases.', 'Pharmacokinetics Variability of Posaconazole (PCZ) and Its Glucuronide Metabolite During Induction and Consolidation Treatments in Patients With Acute Myeloid Leukemia (AML): a Covariate Analysis With the Tablets Formulation and Evaluation of the Potential Risk of Hepatotoxicity.', 'A recent study suggests less exposure to PCZ in the presence of UGT1A4 polymorphism.', 'Although hepatic metabolism of PCZ is low compared with other azoles (such as itraconazole or voriconazole), differences in the metabolic capacity of UGT1A4 may alter PCZ exposure.', 'A small cohort of recurrent HGG patients will receive either a single-, or repeated, steady state dose of either KCZ or PCZ and will then go for surgery where drug concentrations will be measured intraoperatively.', 'We would like to translate these preclinical findings into the clinical setting by implementing a proof-of biological concept study with two azole drugs: ketoconazole (KCZ) and posaconazole (PCZ).', 'This variability is probably related to a modification during the treatment of the physio-pathological conditions of the patient likely to impact the pharmacokinetics of PCZ (absorption, distribution, metabolism, etc.) as well as the effect of possible pharmacokinetic drug interactions.', 'The metabolism of PCZ is mediated primarily by the uridine diphosphate (UDP)-glucuronosyltransferase 1A4 (UGT1A4) pathway.', ""The main objective of the investigator's project is to study prospectively in a homogeneous population of patients treated by intensive chemotherapy for acute myeloid leukemia (induction and consolidation) the pharmacokinetics of PCZ administered in its tablet formulation, and in particular:"", 'A previous study of the oral suspension form had shown that low concentrations of PCZ were associated with a high ratio of PCZ-glucuronide / PCZ concentrations.', '- Clinical and biological tolerance of high concentrations of PCZ - The influence of clinical and demographic covariates on PCZ and PCZ-glucuronide ratio - The influence of genetic variants of UGT1A4 on PCZ metabolism (PCZ-glucuronide / PCZ ratio)', 'Nevertheless, further studies involving larger cohorts are needed to clarify a hypothetical relationship between serum PCZ concentration and the occurrence of hepatic toxicity.', 'The investigators retrospectively collected and analyzed 201 results of residual PCZ serum concentrations from 91 onco-hematology patients on Noxafil® tablets prophylaxis.'}","{'NCT03796533', 'NCT03763396'}",NCT03796533
1,,,,89zr-dfo,FALSE,2,FALSE,FALSE,"By non-invasively imaging the status of EGFR, 89Zr-DFO-nimotuzumab could be used to assist in the identification of patients who are likely to respond to anti-EGFR treatments, including nimotuzumab.","{'By non-invasively imaging the status of EGFR, 89Zr-DFO-nimotuzumab could be used to assist in the identification of patients who are likely to respond to anti-EGFR treatments, including nimotuzumab.', 'The purpose of this study is to test 89Zr-DFO-daratumumab, a new imaging agent, to demonstrate its safety and ability to take pictures of the myeloma', 'The hypothesis is that 89Zr-DFO-nimotuzumab will accumulate to tumors over-expressing EGFR making them visible when imaged with PET/CT.', 'Evaluation of 89Zr-DFO-nimotuzumab for Non-invasive Imaging of EGFR Positive Cancers by Positron Emission Tomography (PET).'}","{'NCT03665155', 'NCT04235114'}",NCT03665155
,,,,gabapentin,FALSE,2,FALSE,FALSE,"Multi-centre, Double-blind, Randomized-controlled Trial to Study the Efficacy and Safety of Gabapentin to Reduce Strong Opioid Use in Treatment of Radiation-induced Pain in Head and Neck Cancer Patients During Curative Radio(Chemo)Therapy.","{'Multi-centre, Double-blind, Randomized-controlled Trial to Study the Efficacy and Safety of Gabapentin to Reduce Strong Opioid Use in Treatment of Radiation-induced Pain in Head and Neck Cancer Patients During Curative Radio(Chemo)Therapy.', 'Studies in patients needing orthopedic or OB/Gyn surgery have shown improved pain control with gabapentin.', 'Perioperative Analgesia Using Gabapentin in Head and Neck Cancer Surgery: A Randomized Controlled Trial.', 'The aim of this study is to establish if addition of gabapentin is more effective in reducing the need to start (or dosage-increase) a strong opioid for HNCA pain than a matching placebo additional to standard pain management (WHO-ladder step 2 and 3)', 'A multi-centre, double-blind, randomized-controlled trial to study the efficacy and safety of gabapentin to reduce the need for strong opioid use in the treatment of radiation-induced pain in head and neck cancer (HNCA) patients undergoing a curative 7-week radio(chemo)therapy course with curative intent.', 'The use of gabapentin, which is a non narcotic pain medication that focuses on nerve pain, has been used in smaller head and neck surgeries including removal of tonsils, sinus surgery, thyroid surgery.'}","{'NCT03682367', 'NCT03747562'}",NCT03682367
,1,,,forfirinox,FALSE,2,FALSE,FALSE,"A Multicentre, Open-label, Randomised, Controlled Study of Molecularly Precision Target Therapy Based on Tumor Molecular Profiling With FORFIRINOX in Advanced or Recurrent Extrahepatic Cholangiocarcinoma and Gallbladder Carcinoma.","{'A Multicentre, Open-label, Randomised, Controlled Study of Molecularly Precision Target Therapy Based on Tumor Molecular Profiling With FORFIRINOX in Advanced or Recurrent Extrahepatic Cholangiocarcinoma and Gallbladder Carcinoma.', 'The purpose of this study is to evaluate the feasibility, efficacy and safety of FORFIRINOX in advanced or recurrent extrahepatic cholangiocarcinoma and gallbladder carcinoma'}","{'NCT03768375', 'NCT03772132'}",NCT03768375
,1,,,lum015,FALSE,2,FALSE,FALSE,All enrolled subjects will be injected with LUM015 prior to surgery.,"{'All enrolled subjects will be injected with LUM015 prior to surgery.', 'This includes selecting a dose to determine the initial efficacy of LUM015 for the molecular imaging of low-grade gliomas, glioblastomas and cancer masses that have metastasized to the brain'}","{'NCT03717142', 'NCT03686215'}",NCT03717142
1,,,,mk-3745,FALSE,2,FALSE,FALSE,The purpose of this study is to evaluate the efficacy of pembrolizumab (MK-3745) in combination with chemotherapy (Cisplatin combined with 5-Fluorouracil [FP regimen] or oxaliplatin combined with capecitabine [CAPOX regimen]) versus placebo in combination with chemotherapy (FP or CAPOX regimens) in the treatment of human epidermal growth factor receptor 2 (HER2) negative advanced gastric or GEJ adenocarcinoma in adult participants.,"{'The purpose of this study is to evaluate the efficacy of pembrolizumab (MK-3745) in combination with chemotherapy (Cisplatin combined with 5-Fluorouracil [FP regimen] or oxaliplatin combined with capecitabine [CAPOX regimen]) versus placebo in combination with chemotherapy (FP or CAPOX regimens) in the treatment of human epidermal growth factor receptor 2 (HER2) negative advanced gastric or GEJ adenocarcinoma in adult participants.', 'The purpose of this study is to evaluate the safety and efficacy of lenvatinib (E7080/MK-7902) in combination with pembrolizumab (MK-3745) versus lenvatinib in combination with placebo as first-line therapy for the treatment of advanced hepatocellular carcinoma in adult participants.'}","{'NCT03713593', 'NCT03675737'}",NCT03713593
1,,,ch5126766,ch5126766,FALSE,2,FALSE,FALSE,A Phase 1 Trial of RO5126766 (CH5126766) in Patients With Advanced KRAS-Mutant Lung Adenocarcinomas.,"{'A Phase 1 Trial of RO5126766 (CH5126766) in Patients With Advanced KRAS-Mutant Lung Adenocarcinomas.', 'RO5126766 is the same compound to CH5126766.'}","{'NCT03681483', 'NCT03875820'}",NCT03681483
1,,,,irx-2,FALSE,2,FALSE,FALSE,The IRX-2 Regimen Combined With Nivolumab in Recurrent/Metastatic Solid Tumors:,"{'The IRX-2 Regimen Combined With Nivolumab in Recurrent/Metastatic Solid Tumors:', 'This phase Ib/II trial studies the side effects of IRX-2, cyclophosphamide, and pembrolizumab work in treating participants with gastric or gastroesophageal junction cancer that has come back or that has spread to other places in the body.', 'A Phase 1b/2 Trial of the IRX-2 Regimen and Pembrolizumab in Patients With Advanced Gastric and Gastroesophageal Junction (GEJ) Adenocarcinoma.', 'This study is to determine the safety of IRX-2 Regimen combined with Nivolumab in patients with recurrent metastatic solid tumors.'}","{'NCT03758781', 'NCT03918499'}",NCT03758781
,,,VX15/2503,vx15/2503,FALSE,2,FALSE,FALSE,This pilot phase I trial studies how well VX15/2503 (pepinemab) with or without ipilimumab and/or nivolumab work in treating participants with stage IIIB-D melanoma that can be removed by surgery.,"{'This pilot phase I trial studies how well VX15/2503 (pepinemab) with or without ipilimumab and/or nivolumab work in treating participants with stage IIIB-D melanoma that can be removed by surgery.', 'Pilot Integrated Biomarker Study of VX15/2503 in Combination With Ipilimumab or Nivolumab in Patients With Resectable Metastatic Melanoma.', 'Integrated Pilot Biomarker Trial of VX15/2503 in Combination With Ipilimumab or Nivolumab in Patients With Head and Neck Cancer.'}","{'NCT03690986', 'NCT03769155'}",NCT03690986
1,,,,anamorelin hcl,FALSE,2,FALSE,FALSE,"A Phase 3 Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate the Efficacy and Safety of Anamorelin HCl for the Treatment of Malignancy Associated Weight Loss and Anorexia in Adult Patients With Advanced Non-Small Cell Lung Cancer (NSCLC).","{'A Phase 3 Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate the Efficacy and Safety of Anamorelin HCl for the Treatment of Malignancy Associated Weight Loss and Anorexia in Adult Patients With Advanced Non-Small Cell Lung Cancer (NSCLC).', 'Multicenter, randomized, double-blind, parallel-group, placebo-controlled study to evaluate the efficacy and safety of anamorelin HCl.', '1 to anamorelin HCl 100 mg or placebo, taken orally once daily (QD) for a total of 24 weeks.'}","{'NCT03743064', 'NCT03743051'}",NCT03743064
1,,,,tranexamic acid,FALSE,2,FALSE,FALSE,Study of Thromboelastography During Tranexamic Acid Treatment in Preventing Bleeding in Patients With Haematological Malignancies Presenting Severe Thrombocytopenia (TTRAP-bleeding).,"{'Study of Thromboelastography During Tranexamic Acid Treatment in Preventing Bleeding in Patients With Haematological Malignancies Presenting Severe Thrombocytopenia (TTRAP-bleeding).', 'This is a pilot study to evaluate the feasibility of conducting a larger trial to determine if the use of intraoperative topical tranexamic acid (TXA) decreases the rate of post-operative hematomas and seromas in breast cancer patients after their mastectomy.', 'Pilot RCT: Use of Tranexamic Acid (TXA) in Post Mastectomy Patients for Seroma and Hematoma Prevention.'}","{'NCT03738527', 'NCT03801122'}",NCT03738527
1,,,,porfimer sodium,FALSE,2,FALSE,FALSE,"Photodynamic therapy consists of injecting a light sensitive drug called a photosensitizer, such as porfimer sodium, into the vein, waiting for it to accumulate in the tumor, and then activating it with a red laser light.","{'Photodynamic therapy consists of injecting a light sensitive drug called a photosensitizer, such as porfimer sodium, into the vein, waiting for it to accumulate in the tumor, and then activating it with a red laser light.', 'It is not yet known how well porfimer sodium interstitial photodynamic therapy works, with or without standard of care chemotherapy, in treating patients with head and neck cancer', 'Interstitial photodynamic therapy uses a light-sensitive drug called porfimer sodium.', 'A Randomized, Multi-Center Phase 2 Trial With a Phase 1 Safety Run-in: Porfimer Sodium Mediated Interstitial Photodynamic Therapy and Standard of Care (SoC) Therapy Versus SoC Therapy Alone for the Treatment of Patients With Locally Advanced or Recurrent Head and Neck Cancer.', 'Giving photodynamic therapy with Porfimer sodium may reduce the tumor size in patients with lung cancer'}","{'NCT03735095', 'NCT03727061'}",NCT03735095
1,,,,xmab®23104,FALSE,1,TRUE,FALSE,A Phase 1 Multiple-Dose Study to Evaluate the Safety and Tolerability of XmAb®23104 in Subjects With Selected Advanced Solid Tumors.,{'A Phase 1 Multiple-Dose Study to Evaluate the Safety and Tolerability of XmAb®23104 in Subjects With Selected Advanced Solid Tumors.'},{'NCT03752398'},NCT03752398
1,,,,cs3006,FALSE,1,FALSE,FALSE,"A Phase I, Open Label, Multiple Dose, Dose Escalation and Expansion Study to Investigate the Safety, Tolerability, Pharmacokinetics and Antitumor Activities of the MEK Inhibitor CS3006 in Subjects With Locally Advanced or Metastatic Solid Tumors.","{'A Phase I, Open Label, Multiple Dose, Dose Escalation and Expansion Study to Investigate the Safety, Tolerability, Pharmacokinetics and Antitumor Activities of the MEK Inhibitor CS3006 in Subjects With Locally Advanced or Metastatic Solid Tumors.', 'This is a multicenter, open label, sequential-cohort, dose escalation & expansion phase I study to evaluate the clinical safety, tolerability, PK, and preliminary efficacy of CS3006 and to establish the Maximum Tolerated Dose (MTD）, if any, Recommended Phase II Doses (RP2Ds) and regimen of CS3006.'}",{'NCT03736850'},NCT03736850
